url_length,num_dots,num_hyphen,contains_ip,has_https,domain_age,suspicious_words,redirect_count,entropy_score,label
27,1,0,0,1,2040,1,1,3.8101,0
33,1,2,0,0,31,2,2,4.0438,1
26,1,0,0,1,5966,0,0,3.5843,0
35,1,2,0,0,29,5,1,4.1859,1
27,1,0,0,1,828,0,0,3.8101,0
38,1,2,0,0,33,4,1,3.9579,1
24,1,0,0,1,1338,0,0,3.7091,0
35,1,2,1,0,10,4,2,4.2046,1
24,1,0,0,1,1274,1,0,3.8554,0
32,1,2,0,0,38,2,3,4.0306,1
27,1,0,0,1,7338,0,0,3.838,0
32,1,2,0,0,11,5,1,4.1792,1
27,1,0,0,1,5019,1,1,3.838,0
32,1,2,0,0,23,5,2,4.0931,1
23,1,0,0,1,7702,0,0,3.6212,0
34,1,2,1,1,25,5,2,4.0912,1
25,1,0,0,1,4654,0,0,3.8937,0
36,1,2,1,0,18,3,3,4.1206,1
27,1,0,0,1,7182,1,0,3.8562,0
35,1,2,1,0,43,2,1,4.3217,1
26,1,0,0,1,3320,0,0,4.1039,0
31,1,2,0,0,22,4,3,4.3492,1
24,1,0,0,1,3804,1,0,3.6887,0
36,1,2,0,1,25,2,5,4.1416,1
24,1,0,0,1,4604,1,1,3.8554,0
32,1,2,1,0,12,3,1,4.0153,1
26,1,0,0,1,4482,1,0,3.921,0
34,1,2,0,0,42,5,2,4.0575,1
24,1,0,0,1,5866,0,1,3.7091,0
36,1,2,0,0,43,3,3,4.0651,1
24,1,0,0,1,2271,1,0,3.8554,0
34,1,2,0,1,37,2,2,4.3594,1
24,1,0,0,1,4288,0,0,3.8035,0
31,1,2,0,0,5,3,1,3.9779,1
23,1,0,0,1,5293,0,1,3.6425,0
34,1,2,0,0,37,2,1,3.9254,1
27,1,0,0,1,3293,1,1,3.9303,0
37,1,2,0,0,6,5,3,4.3242,1
24,1,0,0,1,1831,0,1,3.8554,0
35,1,2,1,1,44,5,5,4.0716,1
24,1,0,0,1,691,1,1,3.7721,0
34,1,2,0,0,6,4,2,3.9987,1
23,1,0,0,1,1435,0,1,3.6212,0
33,1,2,0,1,27,3,5,3.9802,1
29,1,0,0,1,1998,0,0,4.0473,0
35,1,2,0,0,38,2,1,4.2214,1
28,1,0,0,1,3913,1,1,4.0122,0
31,1,2,0,1,1,2,3,3.9016,1
27,1,0,0,1,4863,0,1,3.764,0
34,1,2,0,1,38,2,3,4.1385,1
29,1,0,0,1,5225,0,1,4.0473,0
29,1,2,1,0,45,4,5,3.9523,1
24,1,0,0,1,7403,0,0,3.8554,0
36,1,2,0,0,30,5,5,3.9194,1
30,1,0,0,1,1866,1,0,3.6981,0
31,1,2,1,0,7,5,1,4.1715,1
23,1,0,0,1,5163,1,1,3.7623,0
31,1,2,0,0,20,2,4,4.2847,1
23,1,0,0,1,7961,1,1,3.7623,0
35,1,2,0,0,43,5,5,3.7942,1
24,1,0,0,1,4023,0,1,3.6887,0
31,1,2,0,0,23,2,2,4.2847,1
26,1,0,0,1,2582,1,0,3.5843,0
32,1,2,1,0,26,4,5,4.1167,1
27,1,0,0,1,3501,1,1,3.708,0
33,1,2,1,0,5,5,1,4.2455,1
24,1,0,0,1,2630,0,1,3.7091,0
31,1,2,1,1,37,2,3,3.9134,1
27,1,0,0,1,2669,1,0,3.838,0
34,1,2,1,0,12,5,4,4.0179,1
24,1,0,0,1,1130,0,1,3.6887,0
31,1,2,0,0,44,4,1,4.3492,1
27,1,0,0,1,1803,0,1,3.8101,0
31,1,2,1,0,16,2,4,3.9378,1
26,1,0,0,1,5145,0,1,4.1039,0
36,1,2,0,0,28,4,3,4.0595,1
26,1,0,0,1,6496,0,0,4.1039,0
31,1,2,0,0,4,2,3,4.1313,1
24,1,0,0,1,4946,0,0,3.8554,0
31,1,2,0,1,42,5,3,4.0392,1
27,1,0,0,1,5457,0,1,3.708,0
31,1,2,0,0,6,5,4,3.8457,1
27,1,0,0,1,5735,1,0,3.838,0
37,1,2,1,0,4,2,5,4.2497,1
26,1,0,0,1,2937,1,0,4.1039,0
34,1,2,0,1,39,2,4,3.7634,1
24,1,0,0,1,5261,1,1,3.8035,0
34,1,2,0,0,42,2,5,4.396,1
28,1,0,0,1,3573,0,0,4.0122,0
33,1,2,0,1,22,3,1,4.2256,1
27,1,0,0,1,1528,1,1,3.8101,0
31,1,2,0,1,12,5,1,3.9378,1
26,1,0,0,1,6648,0,1,3.921,0
33,1,2,0,0,12,2,3,4.3549,1
25,1,0,0,1,5374,1,1,3.8937,0
35,1,2,0,1,21,3,5,4.4004,1
31,1,0,0,1,4001,1,0,3.9536,0
35,1,2,1,1,20,2,2,4.036,1
29,1,0,0,1,3816,0,1,4.0473,0
35,1,2,1,1,35,4,2,4.05,1
27,1,0,0,1,7050,0,0,3.708,0
32,1,2,0,0,34,3,5,4.1556,1
27,1,0,0,1,7918,0,1,3.8101,0
34,1,2,1,0,32,2,3,3.9735,1
28,1,0,0,1,583,0,1,4.155,0
34,1,2,0,0,33,3,4,4.2784,1
24,1,0,0,1,6223,0,0,3.8554,0
34,1,2,0,1,41,2,3,4.0797,1
23,1,0,0,1,5710,0,0,3.6212,0
32,1,2,1,0,16,2,5,4.0039,1
23,1,0,0,1,763,1,1,3.6425,0
32,1,2,1,1,40,2,5,4.3042,1
27,1,0,0,1,5498,0,1,3.838,0
34,1,2,0,0,30,3,2,4.3372,1
31,1,0,0,1,2811,0,0,3.9536,0
34,1,2,0,0,30,2,4,4.0797,1
28,1,0,0,1,2222,1,1,4.155,0
36,1,2,0,0,40,3,1,3.9931,1
27,1,0,0,1,5359,1,0,3.9303,0
34,1,2,0,0,30,4,4,4.1385,1
25,1,0,0,1,7013,0,1,3.8937,0
29,1,2,1,0,1,2,5,4.2542,1
24,1,0,0,1,7781,0,0,3.7202,0
32,1,2,0,1,12,3,2,4.2653,1
31,1,0,0,1,6161,0,0,3.9536,0
31,1,2,1,1,29,3,2,4.3248,1
24,1,0,0,1,3942,0,0,3.7721,0
33,1,2,0,0,33,5,4,4.0637,1
27,1,0,0,1,6432,0,1,3.8101,0
33,1,2,0,1,37,4,3,3.9832,1
23,1,0,0,1,6679,1,1,3.6425,0
34,1,2,0,0,41,4,4,3.9735,1
25,1,0,0,1,6100,1,0,3.8937,0
34,1,2,0,0,29,5,2,4.0323,1
23,1,0,0,1,3745,0,1,3.6753,0
33,1,2,0,1,35,5,3,4.332,1
24,1,0,0,1,4634,1,0,3.7091,0
33,1,2,0,0,29,3,1,4.1124,1
23,1,0,0,1,7844,0,0,3.6212,0
36,1,2,0,0,29,2,1,4.0997,1
24,1,0,0,1,4654,0,1,3.8554,0
36,1,2,0,0,14,5,5,4.0277,1
23,1,0,0,1,4738,1,1,3.6212,0
31,1,2,0,0,39,3,2,4.0424,1
27,1,0,0,1,4079,0,1,3.838,0
33,1,2,1,0,13,2,2,4.2336,1
27,1,0,0,1,2748,0,1,3.9303,0
37,1,2,0,0,22,5,4,4.1522,1
24,1,0,0,1,3634,0,1,3.7202,0
35,1,2,0,1,2,3,2,4.3217,1
29,1,0,0,1,7170,0,0,4.0473,0
33,1,2,0,0,25,3,2,4.0667,1
27,1,0,0,1,2719,1,0,3.8101,0
31,1,2,0,1,34,3,5,4.0392,1
27,1,0,0,1,7190,1,0,3.708,0
31,1,2,1,0,30,5,1,4.0826,1
27,1,0,0,1,1094,1,1,3.8101,0
34,1,2,0,1,30,4,2,4.0797,1
27,1,0,0,1,3517,1,1,3.8562,0
33,1,2,1,0,36,4,1,4.1124,1
29,1,0,0,1,7559,0,0,4.0473,0
33,1,2,0,0,1,4,4,4.0438,1
27,1,0,0,1,6622,1,1,3.8562,0
